citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
79 FR 4263, 2014-01523,4264,https://www.federalregister.gov/documents/2014/01/24/2014-01523/establishment-of-afghanistan-and-pakistan-strategic-partnership-office-and-amendment-to-executive,https://www.govinfo.gov/content/pkg/FR-2014-01-24/pdf/2014-01523.pdf,Presidential Document,Executive Order,01/24/2014,2014-01-17,4263,Establishment of Afghanistan and Pakistan Strategic Partnership Office and Amendment to Executive Order 12163,"Amends: EO 12163, September 29, 1979",13656
79 FR 13493, 2014-05323,13495,https://www.federalregister.gov/documents/2014/03/10/2014-05323/blocking-property-of-certain-persons-contributing-to-the-situation-in-ukraine,https://www.govinfo.gov/content/pkg/FR-2014-03-10/pdf/2014-05323.pdf,Presidential Document,Executive Order,03/10/2014,2014-03-06,13493,Blocking Property of Certain Persons Contributing to the Situation in Ukraine,"See: EO 13661, March 16, 2014; EO 13662, March 20, 2014; EO 13685, December 19, 2014 ",13660
79 FR 15535, 2014-06141,15538,https://www.federalregister.gov/documents/2014/03/19/2014-06141/blocking-property-of-additional-persons-contributing-to-the-situation-in-ukraine,https://www.govinfo.gov/content/pkg/FR-2014-03-19/pdf/2014-06141.pdf,Presidential Document,Executive Order,03/19/2014,2014-03-16,15535,Blocking Property of Additional Persons Contributing to the Situation in Ukraine,"See: EO 13660, March 6, 2014; EO 13662, March 20, 2014; EO 13685, December 19, 2014",13661
79 FR 16169, 2014-06612,16171,https://www.federalregister.gov/documents/2014/03/24/2014-06612/blocking-property-of-additional-persons-contributing-to-the-situation-in-ukraine,https://www.govinfo.gov/content/pkg/FR-2014-03-24/pdf/2014-06612.pdf,Presidential Document,Executive Order,03/24/2014,2014-03-20,16169,Blocking Property of Additional Persons Contributing to the Situation in Ukraine,"See: EO 13660, March 6, 2014; EO 13661, March 16, 2014; EO 13685, December 19, 2014",13662
86 FR 47205, 2021-18306,47207,https://www.federalregister.gov/documents/2021/08/24/2021-18306/blocking-property-with-respect-to-certain-russian-energy-export-pipelines,https://www.govinfo.gov/content/pkg/FR-2021-08-24/pdf/2021-18306.pdf,Presidential Document,Executive Order,08/24/2021,2021-08-20,47205,Blocking Property With Respect to Certain Russian Energy Export Pipelines,"See: EO 14024, April 15, 2021; EO 14114, December 12, 2023",14039
84 FR 58595, 2019-24040,58597,https://www.federalregister.gov/documents/2019/11/01/2019-24040/commission-on-law-enforcement-and-the-administration-of-justice,https://www.govinfo.gov/content/pkg/FR-2019-11-01/pdf/2019-24040.pdf,Presidential Document,Executive Order,11/01/2019,2019-10-28,58595,Commission on Law Enforcement and the Administration of Justice,"",13896
86 FR 43583, 2021-17121,43585,https://www.federalregister.gov/documents/2021/08/10/2021-17121/strengthening-american-leadership-in-clean-cars-and-trucks,https://www.govinfo.gov/content/pkg/FR-2021-08-10/pdf/2021-17121.pdf,Presidential Document,Executive Order,08/10/2021,2021-08-05,43583,Strengthening American Leadership in Clean Cars and Trucks,"Revoked by: EO 14148, January 20, 2025; EO 14154, January 20, 2025",14037
86 FR 64337, 2021-25287,64341,https://www.federalregister.gov/documents/2021/11/18/2021-25287/improving-public-safety-and-criminal-justice-for-native-americans-and-addressing-the-crisis-of,https://www.govinfo.gov/content/pkg/FR-2021-11-18/pdf/2021-25287.pdf,Presidential Document,Executive Order,11/18/2021,2021-11-15,64337,Improving Public Safety and Criminal Justice for Native Americans and Addressing the Crisis of Missing or Murdered Indigenous People,"",14053
84 FR 46873, 2019-19367,46874,https://www.federalregister.gov/documents/2019/09/05/2019-19367/establishing-the-national-quantum-initiative-advisory-committee,https://www.govinfo.gov/content/pkg/FR-2019-09-05/pdf/2019-19367.pdf,Presidential Document,Executive Order,09/05/2019,2019-08-30,46873,Establishing the National Quantum Initiative Advisory Committee,"Revoked by: EO 14073, May 4, 2022
See: EO 13526, December 29, 2009",13885
84 FR 55487, 2019-22749,55488,https://www.federalregister.gov/documents/2019/10/16/2019-22749/increasing-government-accountability-for-administrative-actions-by-reinvigorating-administrative,https://www.govinfo.gov/content/pkg/FR-2019-10-16/pdf/2019-22749.pdf,Presidential Document,Executive Order,10/16/2019,2019-10-10,55487,Increasing Government Accountability for Administrative Actions by Reinvigorating Administrative PAYGO,"Revoked by: EO 13992, January 20, 2021",13893
84 FR 53573, 2019-22073,53576,https://www.federalregister.gov/documents/2019/10/08/2019-22073/protecting-and-improving-medicare-for-our-nations-seniors,https://www.govinfo.gov/content/pkg/FR-2019-10-08/pdf/2019-22073.pdf,Presidential Document,Executive Order,10/08/2019,2019-10-03,53573,Protecting and Improving Medicare for Our Nation's Seniors,"See: EO 13813, October 12, 2017",13890
87 FR 20689, 2022-07716,20691,https://www.federalregister.gov/documents/2022/04/08/2022-07716/continuing-to-strengthen-americans-access-to-affordable-quality-health-coverage,https://www.govinfo.gov/content/pkg/FR-2022-04-08/pdf/2022-07716.pdf,Presidential Document,Executive Order,04/08/2022,2022-04-05,20689,"Continuing To Strengthen Americans' Access to Affordable, Quality Health Coverage","See: EO 14009, January 28, 2021
Revoked by: EO 14148, January 20, 2025",14070
87 FR 42053, 2022-15138,42055,https://www.federalregister.gov/documents/2022/07/13/2022-15138/protecting-access-to-reproductive-healthcare-services,https://www.govinfo.gov/content/pkg/FR-2022-07-13/pdf/2022-15138.pdf,Presidential Document,Executive Order,07/13/2022,2022-07-08,42053,Protecting Access to Reproductive Healthcare Services,"See: EO 14101, June 23, 2023
Revoked by: EO 14182, January 24, 2025",14076
59 FR 22121, 94-13090,22122,https://www.federalregister.gov/documents/1994/04/28/94-13090/seal-for-the-office-of-national-drug-control-policy,"",Presidential Document,Executive Order,04/28/1994,1994-04-25,22121,Seal for the Office of National Drug Control Policy,"",12911
84 FR 12041, 2019-06325,12046,https://www.federalregister.gov/documents/2019/03/29/2019-06325/coordinating-national-resilience-to-electromagnetic-pulses,https://www.govinfo.gov/content/pkg/FR-2019-03-29/pdf/2019-06325.pdf,Presidential Document,Executive Order,03/29/2019,2019-03-26,12041,Coordinating National Resilience to Electromagnetic Pulses,"See: EO 13800, May 11, 2017",13865
84 FR 12853, 2019-06548,12865,https://www.federalregister.gov/documents/2019/04/02/2019-06548/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2019-04-02/pdf/2019-06548.pdf,Presidential Document,Executive Order,04/02/2019,2019-03-28,12853,Adjustments of Certain Rates of Pay,"Supersedes: EO 13856, December 28, 2018",13866
84 FR 30853, 2019-14016,30856,https://www.federalregister.gov/documents/2019/06/28/2019-14016/establishing-a-white-house-council-on-eliminating-regulatory-barriers-to-affordable-housing,https://www.govinfo.gov/content/pkg/FR-2019-06-28/pdf/2019-14016.pdf,Presidential Document,Executive Order,06/28/2019,2019-06-25,30853,Establishing a White House Council on Eliminating Regulatory Barriers to Affordable Housing,"",13878
84 FR 72213, 2019-28286,72225,https://www.federalregister.gov/documents/2019/12/30/2019-28286/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2019-12-30/pdf/2019-28286.pdf,Presidential Document,Executive Order,12/30/2019,2019-12-26,72213,Adjustments of Certain Rates of Pay,"Supersedes:  EO 13866, March 28, 2019",13901
84 FR 68779, 2019-27217,68780,https://www.federalregister.gov/documents/2019/12/16/2019-27217/combating-anti-semitism,https://www.govinfo.gov/content/pkg/FR-2019-12-16/pdf/2019-27217.pdf,Presidential Document,Executive Order,12/16/2019,2019-12-11,68779,Combating Anti-Semitism,"See: EO 14188, January 29, 2025",13899
87 FR 24851, 2022-09138,24855,https://www.federalregister.gov/documents/2022/04/27/2022-09138/strengthening-the-nations-forests-communities-and-local-economies,https://www.govinfo.gov/content/pkg/FR-2022-04-27/pdf/2022-09138.pdf,Presidential Document,Executive Order,04/27/2022,2022-04-22,24851,"Strengthening the Nation's Forests, Communities, and Local Economies","Revoked by: EO 14154, January 20, 2025; EO 14154, January 20, 2025",14072
84 FR 28711, 2019-13175,28713,https://www.federalregister.gov/documents/2019/06/19/2019-13175/evaluating-and-improving-the-utility-of-federal-advisory-committees,https://www.govinfo.gov/content/pkg/FR-2019-06-19/pdf/2019-13175.pdf,Presidential Document,Executive Order,06/19/2019,2019-06-14,28711,Evaluating and Improving the Utility of Federal Advisory Committees,"Revoked by: EO 13992, January 20, 2021",13875
84 FR 65, 2019-00048,77,https://www.federalregister.gov/documents/2019/01/08/2019-00048/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2019-01-08/pdf/2019-00048.pdf,Presidential Document,Executive Order,01/08/2019,2018-12-28,65,Adjustments of Certain Rates of Pay,"Supersedes: EO 13819, December 22, 2017",13856
75 FR 81817, 2010-32960,81828,https://www.federalregister.gov/documents/2010/12/29/2010-32960/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2010-12-29/pdf/2010-32960.pdf,Presidential Document,Executive Order,12/29/2010,2010-12-22,81817,Adjustments of Certain Rates of Pay,"",13561
79 FR 45671, 2014-18682,45671,https://www.federalregister.gov/documents/2014/08/06/2014-18682/revised-list-of-quarantinable-communicable-diseases,https://www.govinfo.gov/content/pkg/FR-2014-08-06/pdf/2014-18682.pdf,Presidential Document,Executive Order,08/06/2014,2014-07-31,45671,Revised List of Quarantinable Communicable Diseases,"",13674
89 FR 59585, 2024-16225,59589,https://www.federalregister.gov/documents/2024/07/22/2024-16225/white-house-initiative-on-advancing-educational-equity-excellence-and-economic-opportunity-through,https://www.govinfo.gov/content/pkg/FR-2024-07-22/pdf/2024-16225.pdf,Presidential Document,Executive Order,07/22/2024,2024-07-17,59585,"White House Initiative on Advancing Educational Equity, Excellence, and Economic Opportunity Through Hispanic-Serving Institutions","See: EO 14045, September 13, 2021
Revoked by: EO 14148, January 20, 2025",14124
85 FR 36139, 2020-12953,36142,https://www.federalregister.gov/documents/2020/06/15/2020-12953/blocking-property-of-certain-persons-associated-with-the-international-criminal-court,https://www.govinfo.gov/content/pkg/FR-2020-06-15/pdf/2020-12953.pdf,Presidential Document,Executive Order,06/15/2020,2020-06-11,36139,Blocking Property of Certain Persons Associated With the International Criminal Court,"Revoked by: EO 14022, April 1, 2021",13928
90 FR 9831, 2025-02841,9832,https://www.federalregister.gov/documents/2025/02/18/2025-02841/one-voice-for-americas-foreign-relations,https://www.govinfo.gov/content/pkg/FR-2025-02-18/pdf/2025-02841.pdf,Presidential Document,Executive Order,02/18/2025,2025-02-12,9831,One Voice for America's Foreign Relations,"",14211
84 FR 3967, 2019-02544,3972,https://www.federalregister.gov/documents/2019/02/14/2019-02544/maintaining-american-leadership-in-artificial-intelligence,https://www.govinfo.gov/content/pkg/FR-2019-02-14/pdf/2019-02544.pdf,Presidential Document,Executive Order,02/14/2019,2019-02-11,3967,Maintaining American Leadership in Artificial Intelligence,"See: EO 13719, February 9, 2016",13859
84 FR 45, 2019-00014,48,https://www.federalregister.gov/documents/2019/01/07/2019-00014/promoting-active-management-of-americas-forests-rangelands-and-other-federal-lands-to-improve,https://www.govinfo.gov/content/pkg/FR-2019-01-07/pdf/2019-00014.pdf,Presidential Document,Executive Order,01/07/2019,2018-12-21,45,"Promoting Active Management of America's Forests, Rangelands, and Other Federal Lands To Improve Conditions and Reduce Wildfire Risk","",13855
83 FR 55243, 2018-24254,55245,https://www.federalregister.gov/documents/2018/11/02/2018-24254/blocking-property-of-additional-persons-contributing-to-the-situation-in-venezuela,https://www.govinfo.gov/content/pkg/FR-2018-11-02/pdf/2018-24254.pdf,Presidential Document,Executive Order,11/02/2018,2018-11-01,55243,Blocking Property of Additional Persons Contributing to the Situation in Venezuela,"See: EO 13692 of March 8, 2015; EO 13808, August 34, 2017; EO 13827, March 19, 2018; EO 13835, May 21, 2018 and Proc. 8693, July 24, 2011; EO 14245, March 24, 2025",13850
76 FR 34841, 2011-14919,34843,https://www.federalregister.gov/documents/2011/06/14/2011-14919/establishment-of-the-white-house-rural-council,https://www.govinfo.gov/content/pkg/FR-2011-06-14/pdf/2011-14919.pdf,Presidential Document,Executive Order,06/14/2011,2011-06-09,34841,Establishment of the White House Rural Council,"Revoked by: EO 13790 of April 25, 2017",13575
76 FR 35715, 2011-15443,35717,https://www.federalregister.gov/documents/2011/06/20/2011-15443/establishment-of-the-selectusa-initiative,https://www.govinfo.gov/content/pkg/FR-2011-06-20/pdf/2011-15443.pdf,Presidential Document,Executive Order,06/20/2011,2011-06-15,35715,Establishment of the SelectUSA Initiative,"",13577
76 FR 13277, 2011-5728,13281,https://www.federalregister.gov/documents/2011/03/10/2011-5728/periodic-review-of-individuals-detained-at-guantnamo-bay-naval-station-pursuant-to-the-authorization,https://www.govinfo.gov/content/pkg/FR-2011-03-10/pdf/2011-5728.pdf,Presidential Document,Executive Order,03/10/2011,2011-03-07,13277,Periodic Review of Individuals Detained at Guantánamo Bay Naval Station Pursuant to the Authorization for Use of Military Force,"See: EO 13491, January 22, 2009; EO 13492, January 22, 2009",13567
76 FR 11315, 2011-4753,11318,https://www.federalregister.gov/documents/2011/03/02/2011-4753/blocking-property-and-prohibiting-certain-transactions-related-to-libya,https://www.govinfo.gov/content/pkg/FR-2011-03-02/pdf/2011-4753.pdf,Presidential Document,Executive Order,03/02/2011,2011-02-25,11315,Blocking Property and Prohibiting Certain Transactions Related to Libya,"See: EO 13726, April 19, 2016",13566
76 FR 7681, 2011-3257,7683,https://www.federalregister.gov/documents/2011/02/11/2011-3257/establishment-of-the-intellectual-property-enforcement-advisory-committees,https://www.govinfo.gov/content/pkg/FR-2011-02-11/pdf/2011-3257.pdf,Presidential Document,Executive Order,02/11/2011,2011-02-08,7681,Establishment of the Intellectual Property Enforcement Advisory Committees,"",13565
76 FR 6309, 2011-2577,6310,https://www.federalregister.gov/documents/2011/02/03/2011-2577/establishment-of-the-presidents-council-on-jobs-and-competitiveness,https://www.govinfo.gov/content/pkg/FR-2011-02-03/pdf/2011-2577.pdf,Presidential Document,Executive Order,02/03/2011,2011-01-31,6309,Establishment of the President's Council on Jobs and Competitiveness,"Revokes: EO 13501, February 6, 2009",13564
76 FR 3821, 2011-1385,3823,https://www.federalregister.gov/documents/2011/01/21/2011-1385/improving-regulation-and-regulatory-review,https://www.govinfo.gov/content/pkg/FR-2011-01-21/pdf/2011-1385.pdf,Presidential Document,Executive Order,01/21/2011,2011-01-18,3821,Improving Regulation and Regulatory Review,"See: EO 12866, September 30, 1993; EO 13579, July 11, 2011; EO 13604, March 22, 2012; EO 13609, May 1, 2012; EO 13610, May 10, 2012; EO 13636, February 12, 2013; EO 13707, September 15, 2015; EO 13777, February 24, 2017; EO 14094, April 6, 2023",13563
79 FR 58231, 2014-23228,58236,https://www.federalregister.gov/documents/2014/09/26/2014-23228/climate-resilient-international-development,https://www.govinfo.gov/content/pkg/FR-2014-09-26/pdf/2014-23228.pdf,Presidential Document,Executive Order,09/26/2014,2014-09-23,58231,Climate-Resilient International Development,"Amended by: EO 13693, March 19, 2015
See: EO 13514, October 5, 2009; EO 13653, November 1, 2013",13677
79 FR 60949, 2014-24218,60950,https://www.federalregister.gov/documents/2014/10/08/2014-24218/conversion-authority-for-criminal-investigators-special-agents-of-the-bureau-of-alcohol-tobacco,https://www.govinfo.gov/content/pkg/FR-2014-10-08/pdf/2014-24218.pdf,Presidential Document,Executive Order,10/08/2014,2014-10-03,60949,"Conversion Authority for Criminal Investigators (Special Agents) of the Bureau of Alcohol, Tobacco, Firearms, and Explosives","",13678
79 FR 63287, 2014-25292,63287,https://www.federalregister.gov/documents/2014/10/23/2014-25292/ordering-the-selected-reserve-and-certain-individual-ready-reserve-members-of-the-armed-forces-to,https://www.govinfo.gov/content/pkg/FR-2014-10-23/pdf/2014-25292.pdf,Presidential Document,Executive Order,10/23/2014,2014-10-16,63287,Ordering the Selected Reserve and Certain Individual Ready Reserve Members of the Armed Forces to Active Duty,"",13680
79 FR 63491, 2014-25439,63493,https://www.federalregister.gov/documents/2014/10/23/2014-25439/improving-the-security-of-consumer-financial-transactions,https://www.govinfo.gov/content/pkg/FR-2014-10-23/pdf/2014-25439.pdf,Presidential Document,Executive Order,10/23/2014,2014-10-17,63491,Improving the Security of Consumer Financial Transactions,"",13681
69 FR 44573, 04-17150,44574,https://www.federalregister.gov/documents/2004/07/26/04-17150/individuals-with-disabilities-in-emergency-preparedness,https://www.govinfo.gov/content/pkg/FR-2004-07-26/pdf/04-17150.pdf,Presidential Document,Executive Order,07/26/2004,2004-07-22,44573,Individuals With Disabilities in Emergency Preparedness,"",13347
69 FR 44885, 04-17205,44890,https://www.federalregister.gov/documents/2004/07/27/04-17205/blocking-property-of-certain-persons-and-prohibiting-the-importation-of-certain-goods-from-liberia,https://www.govinfo.gov/content/pkg/FR-2004-07-27/pdf/04-17205.pdf,Presidential Document,Executive Order,07/27/2004,2004-07-22,44885,Blocking Property of Certain Persons and Prohibiting the Importation of Certain Goods from Liberia,"See: Notice of July 19, 2005; Notice of July 18, 2006; Notice of July 19, 2007; Notice of July 16, 2008; Notice of July 16, 2009; Notice of July 19, 2010 
Revoked by: EO 13710, November 12, 2015",13348
69 FR 44891, 04-17204,44891,https://www.federalregister.gov/documents/2004/07/27/04-17204/amending-executive-order-13226-to-designate-the-presidents-council-of-advisors-on-science-and,https://www.govinfo.gov/content/pkg/FR-2004-07-27/pdf/04-17204.pdf,Presidential Document,Executive Order,07/27/2004,2004-07-23,44891,Amending Executive Order 13226 To Designate the President's Council of Advisors on Science and Technology To Serve as the National Nanotechnology Advisory Panel,"Amends: EO 13326, September 30, 2001",13349
69 FR 52989, 04-19909,52990,https://www.federalregister.gov/documents/2004/08/30/04-19909/facilitation-of-cooperative-conservation,https://www.govinfo.gov/content/pkg/FR-2004-08-30/pdf/04-19909.pdf,Presidential Document,Executive Order,08/30/2004,2004-08-26,52989,Facilitation of Cooperative Conservation,"",13352
85 FR 38741, 2020-14077,38745,https://www.federalregister.gov/documents/2020/06/29/2020-14077/strengthening-the-child-welfare-system-for-americas-children,https://www.govinfo.gov/content/pkg/FR-2020-06-29/pdf/2020-14077.pdf,Presidential Document,Executive Order,06/29/2020,2020-06-24,38741,Strengthening the Child Welfare System for America's Children,"",13930
85 FR 40081, 2020-14509,40084,https://www.federalregister.gov/documents/2020/07/02/2020-14509/protecting-american-monuments-memorials-and-statues-and-combating-recent-criminal-violence,https://www.govinfo.gov/content/pkg/FR-2020-07-02/pdf/2020-14509.pdf,Presidential Document,Executive Order,07/02/2020,2020-06-26,40081,"Protecting American Monuments, Memorials, and Statues and Combating Recent Criminal Violence","Revoked by: EO 14029, May 14, 2021
Reinstated by: EO 14189, January 29, 2025
See: EO 14252, March 27, 2025",13933
85 FR 39455, 2020-14328,39455,https://www.federalregister.gov/documents/2020/07/01/2020-14328/continuing-the-presidents-national-council-for-the-american-worker-and-the-american-workforce-policy,https://www.govinfo.gov/content/pkg/FR-2020-07-01/pdf/2020-14328.pdf,Presidential Document,Executive Order,07/01/2020,2020-06-26,39455,Continuing the President's National Council for the American Worker and the American Workforce Policy Advisory Board,"See: EO 13845, July 19, 2018; Revoked by: EO 14025 of April 26, 2021",13931
88 FR 86021, 2023-27318,86025,https://www.federalregister.gov/documents/2023/12/11/2023-27318/reforming-federal-funding-and-support-for-tribal-nations-to-better-embrace-our-trust,https://www.govinfo.gov/content/pkg/FR-2023-12-11/pdf/2023-27318.pdf,Presidential Document,Executive Order,12/11/2023,2023-12-06,86021,Reforming Federal Funding and Support for Tribal Nations To Better Embrace Our Trust Responsibilities and Promote the Next Era of Tribal Self-Determination,"See: EO 14058, December 13, 2021
Revoked by: EO 14236, March 14, 2025",14112
89 FR 13971, 2024-04012,13974,https://www.federalregister.gov/documents/2024/02/26/2024-04012/amending-regulations-relating-to-the-safeguarding-of-vessels-harbors-ports-and-waterfront-facilities,https://www.govinfo.gov/content/pkg/FR-2024-02-26/pdf/2024-04012.pdf,Presidential Document,Executive Order,02/26/2024,2024-02-21,13971,"Amending Regulations Relating to the Safeguarding of Vessels, Harbors, Ports, and Waterfront Facilities of the United States","See: EO 10173, October 18, 1950",14116
70 FR 20263, 05-7831,20263,https://www.federalregister.gov/documents/2005/04/18/05-7831/designating-the-african-union-as-a-public-international-organization-entitled-to-enjoy-certain,https://www.govinfo.gov/content/pkg/FR-2005-04-18/pdf/05-7831.pdf,Presidential Document,Executive Order,04/18/2005,2005-04-13,20263,"Designating the African Union as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities","Revokes: EO 11767, February 19, 1974",13377
89 FR 15945, 2024-04857,15946,https://www.federalregister.gov/documents/2024/03/05/2024-04857/termination-of-emergency-with-respect-to-the-situation-in-zimbabwe,https://www.govinfo.gov/content/pkg/FR-2024-03-05/pdf/2024-04857.pdf,Presidential Document,Executive Order,03/05/2024,2024-03-04,15945,Termination of Emergency With Respect to the Situation in Zimbabwe,"Revokes: EO 13288, March 6, 2003; EO 13391, November 22, 2005; EO 13469, July 25, 2008",14118
89 FR 20095, 2024-06123,20099,https://www.federalregister.gov/documents/2024/03/21/2024-06123/advancing-womens-health-research-and-innovation,https://www.govinfo.gov/content/pkg/FR-2024-03-21/pdf/2024-06123.pdf,Presidential Document,Executive Order,03/21/2024,2024-03-18,20095,Advancing Women's Health Research and Innovation,"See: EO 14110, October 30, 2023; Memo. of November 13, 2023",14120
69 FR 77605, 04-28404,77605,https://www.federalregister.gov/documents/2004/12/27/04-28404/united-states-mexico-border-health-commission,https://www.govinfo.gov/content/pkg/FR-2004-12-27/pdf/04-28404.pdf,Presidential Document,Executive Order,12/27/2004,2004-12-21,77605,United States-Mexico Border Health Commission,"",13367
69 FR 58797, 04-22212,58798,https://www.federalregister.gov/documents/2004/09/30/04-22212/assignment-of-functions-relating-to-certain-appointments-promotions-and-commissions-in-the-armed,https://www.govinfo.gov/content/pkg/FR-2004-09-30/pdf/04-22212.pdf,Presidential Document,Executive Order,09/30/2004,2004-09-28,58797,"Assignment of Functions Relating to Certain Appointments, Promotions, and Commissions in the Armed Forces","",13358
70 FR 1147, 05-306,1156,https://www.federalregister.gov/documents/2005/01/05/05-306/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2005-01-05/pdf/05-306.pdf,Presidential Document,Executive Order,01/05/2005,2004-12-30,1147,Adjustments of Certain Rates of Pay,"Supersedes: EO 13332, March 3, 2004; Superseded by: EO 13393, December 22, 2005",13368
70 FR 2323, 05-771,2324,https://www.federalregister.gov/documents/2005/01/12/05-771/presidents-advisory-panel-on-federal-tax-reform,https://www.govinfo.gov/content/pkg/FR-2005-01-12/pdf/05-771.pdf,Presidential Document,Executive Order,01/12/2005,2005-01-07,2323,President's Advisory Panel on Federal Tax Reform,"Amended by: EO 13379, June 16, 2005; EO 13386, September 30, 2005; Revoked by: EO 13446, September 28, 2007",13369
69 FR 62549, 04-24098,62551,https://www.federalregister.gov/documents/2004/10/26/04-24098/providing-opportunities-for-service-disabled-veteran-businesses-to-increase-their-federal,https://www.govinfo.gov/content/pkg/FR-2004-10-26/pdf/04-24098.pdf,Presidential Document,Executive Order,10/26/2004,2004-10-20,62549,Providing Opportunities for Service-Disabled Veteran Businesses To Increase Their Federal Contracting and Subcontracting,"",13360
73 FR 65965, E8-26531,65966,https://www.federalregister.gov/documents/2008/11/05/E8-26531/settlement-of-claims-against-libya,https://www.govinfo.gov/content/pkg/FR-2008-11-05/pdf/E8-26531.pdf,Presidential Document,Executive Order,11/05/2008,2008-10-31,65965,Settlement of Claims Against Libya,"",13477
88 FR 10825, 2023-03779,10833,https://www.federalregister.gov/documents/2023/02/22/2023-03779/further-advancing-racial-equity-and-support-for-underserved-communities-through-the-federal,https://www.govinfo.gov/content/pkg/FR-2023-02-22/pdf/2023-03779.pdf,Presidential Document,Executive Order,02/22/2023,2023-02-16,10825,Further Advancing Racial Equity and Support for Underserved Communities Through the Federal Government,"See: EO 12072, August 16, 1978; EO 12866, September 30, 1993; EO 13006, May 21, 1996; EO 13166, August 11, 2000; EO 13985, January 20, 2021; EO 13988, January 20, 2021; EO 13989, January 20, 2021; EO 14008, January 27, 2021; Memo of January 27, 2021; EO 14020, March 8, 2021; EO 14031, May 28, 2021; EO 14035, June 25, 2021; EO 14041, September 3, 2021; EO 14045, September 13, 2021; EO 14049, October 11, 2021; EO 14050, October 19, 2021; EO 14058, December 13, 2021; EO 14121, March 27, 2024; EO 14126, September 6, 2024
Revokes: EO 13853, December 12, 2018; EO 13946, August 24, 2020
Revoked by: EO 14148, January 20, 2025",14091
85 FR 49935, 2020-18015,49937,https://www.federalregister.gov/documents/2020/08/14/2020-18015/fighting-the-spread-of-covid-19-by-providing-assistance-to-renters-and-homeowners,https://www.govinfo.gov/content/pkg/FR-2020-08-14/pdf/2020-18015.pdf,Presidential Document,Executive Order,08/14/2020,2020-08-08,49935,Fighting the Spread of COVID-19 by Providing Assistance to Renters and Homeowners,"",13945
85 FR 42683, 2020-15338,42686,https://www.federalregister.gov/documents/2020/07/14/2020-15338/white-house-hispanic-prosperity-initiative,https://www.govinfo.gov/content/pkg/FR-2020-07-14/pdf/2020-15338.pdf,Presidential Document,Executive Order,07/14/2020,2020-07-09,42683,White House Hispanic Prosperity Initiative,"Supersedes: EO 13555, October 19, 2010 
Partially supersedes: EO 13889, September 27, 2019 
Superseded by: EO 14045, September 13, 2021",13935
85 FR 43413, 2020-15646,43417,https://www.federalregister.gov/documents/2020/07/17/2020-15646/the-presidents-executive-order-on-hong-kong-normalization,https://www.govinfo.gov/content/pkg/FR-2020-07-17/pdf/2020-15646.pdf,Presidential Document,Executive Order,07/17/2020,2020-07-14,43413,The President's Executive Order on Hong Kong Normalization,"See: Notice of July 10, 2025",13936
85 FR 59171, 2020-20887,59172,https://www.federalregister.gov/documents/2020/09/18/2020-20887/lowering-drug-prices-by-putting-america-first,https://www.govinfo.gov/content/pkg/FR-2020-09-18/pdf/2020-20887.pdf,Presidential Document,Executive Order,09/18/2020,2020-07-24,59171,Lowering Drug Prices by Putting America First,"",13947
86 FR 30145, 2021-12019,30149,https://www.federalregister.gov/documents/2021/06/07/2021-12019/addressing-the-threat-from-securities-investments-that-finance-certain-companies-of-the-peoples,https://www.govinfo.gov/content/pkg/FR-2021-06-07/pdf/2021-12019.pdf,Presidential Document,Executive Order,06/07/2021,2021-06-03,30145,Addressing the Threat From Securities Investments That Finance Certain Companies of the People's Republic of China,"Supersedes in part: EO 13959, November 12, 2020 
Revokes: EO 13974, January 13, 2021",14032
86 FR 22829, 2021-09213,22832,https://www.federalregister.gov/documents/2021/04/29/2021-09213/worker-organizing-and-empowerment,https://www.govinfo.gov/content/pkg/FR-2021-04-29/pdf/2021-09213.pdf,Presidential Document,Executive Order,04/29/2021,2021-04-26,22829,Worker Organizing and Empowerment,"Revokes: EO 13845, July 19, 2018; EO 13931, June 26, 2020",14025
86 FR 26633, 2021-10460,26647,https://www.federalregister.gov/documents/2021/05/17/2021-10460/improving-the-nations-cybersecurity,https://www.govinfo.gov/content/pkg/FR-2021-05-17/pdf/2021-10460.pdf,Presidential Document,Executive Order,05/17/2021,2021-05-12,26633,Improving the Nation's Cybersecurity,"See: EO 14141, January 14, 2025; EO 14144, January 16, 2025",14028
86 FR 25947, 2021-10139,25948,https://www.federalregister.gov/documents/2021/05/12/2021-10139/establishment-of-the-climate-change-support-office,https://www.govinfo.gov/content/pkg/FR-2021-05-12/pdf/2021-10139.pdf,Presidential Document,Executive Order,05/12/2021,2021-05-07,25947,Establishment of the Climate Change Support Office,"See: EO 14008, January 27, 2021
Revoked by: EO 14148, January 20, 2025; EO 14154, January 20, 2025",14027
